,Titre,Description,Détail des conditions,Résumé horaires,Adresse
120,"Chants Magnétiques et Laboratoire Onirique, l'idée du rêve dans la création musicale",Textes littéraires et scientifiques,"Entrée libre, sur inscription, tél 01 41 23 82 82","Mercredi 7 février 2018, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
121,Collecte solidaire place Madaule,Apportez vos appareils électriques en état de marche ou hors d'usage. Des camions Emmaüs vous attendent pour recueillir vos dons.,,"Samedi 19 mai 2018, 10h00","Place Madaule, 92130 Issy-les-Moulineaux"
122,Le Petit Nicolas,Cinéma,"Entrée libre, sur inscription, tél 01 41 23 82 82","Samedi 14 avril 2018, 17h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
123,Cinéma : La Belle et la Belle,Une comédie romantique écrite et réalisée par Sophie Fillières.,,21 - 26 mars 2018,"11-13, rue Danton 92130 Issy-les-Moulineaux"
124,Handball féminin,Issy Paris Hand reçoit Fleury Loiret Handball - Playoffs - places 5 à 8 du championnat LFH,,"Mercredi 9 mai 2018, 20h30","6 Boulevard des Frères Voisin, 92130 Issy-les-Moulineaux"
125,"Soirée jeu spéciale ""Un contre tous et tous contre un""",Une soirée entièrement dédiée au jeu de société moderne. Un moment convivial à partager entre amis ou en famille.,Gratuit pour les adhérents - 2€ par personne pour les non-adhérents,"Samedi 2 juin 2018, 20h30","18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
126,11 spectacles au programme de La Halle des Epinettes,Ces spectacles mettent en valeur la diversité culturelle sur la ville.,A voir en fonction du spectacle,2 juin - 3 juillet 2018,"47 rue de l'égalité, 92130 Issy-les-Moulineaux"
127,"Cinéma : ""Les Proies""","Porté à l'écran en 1971 par Don Siegel avec Clint Eastwood, ce remake permet à Sofia Coppola de renouveler son talent.","Plein tarif: 7€50 / Tarif réduit : 5€50 (+ 65 ans, familles nombreuses, sans-emplois, abonnés au Palais des Congrès) / Tarif - 14 ans : 4€ / Tarif de groupe : 4€ / Location de lunettes 3D: 1€ / Carte annuelle: 18€ (donnant droit au tarif réduit)",6 - 11 septembre 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
128,Carte blanche ★ cinéma d'animation avec Kino,Sélection de courts-métrages d'animation avec l'association Kino,Entrée libre dans la limite des places disponibles,"Samedi 6 octobre 2018, 18h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
129,Chanter avec son enfant de 3 à 6 ans,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 3 à 6 ans, animé par Marie-Anne Sévin-Tulasne, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 12 participants par séance.","Samedi 23 mars 2019, 10h30","60 rue du Général Leclerc, 92130"
130,L'Aparté vous accueille ce samedi,Lieu d’accueil pour les bébés et les enfants de moins de 4 ans accompagnés d’un adulte familier. Entrée libre sans rendez-vous.,Entrée libre sans rendez-vous,"Samedi 16 mars 2019, 15h00","60 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
131,Cinéma : Alpha,Un film qui transportera les enfants 20 000 ans en arrière !,,19 et 23 septembre 2018,"11-13, rue Danton 92130 Issy-les-Moulineaux"
132,"«La famille, l’argent, l’amour : les enjeux psychologiques des questions matérielles» par Nicole Prieur","Conférence-débat avec Nicole Prieur philosophe, psychothérapeute, codirectrice du CECCOF, sur inscription.","Conférence gratuite, renseignements par téléphone, inscription en ligne, 60 participants maximum.","Mardi 9 avril 2019, 20h30","60 rue du Général Leclerc, 92130"
133,Hommage à Tota Kaneko,"Dans le cadre du 2ème salon du livre de Haïku, entrée libre sur réservation dès 15 ans.","Entrée libre, renseignements par téléphone, réservation en ligne","Samedi 8 décembre 2018, 20h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
134,"Consultation citoyenne : Travailler en Europe, mythes et réalités",Comment faciliter la mobilité professionnelle à l'échelle européenne ? Peut-on imaginer une couverture sociale européenne ? Quels droits sociaux en Europe ?,Entrée libre - réservation conseillée,"Lundi 17 septembre 2018, 19h30","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
135,Partager autour du théâtre avec son enfant de 3 à 6 ans,"Ni performance, ni enseignement de techniques théâtrales, un atelier pour le plaisir de partager, animé par Julia Germillon, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Samedi 10 novembre 2018, 14h30","60 rue du Général Leclerc, 92130"
136,Atelier Les pères aujourd'hui : quel dialogue avec les enfants ?,"Un atelier en 2 séances pour les pères ou grand pères de collégiens et d’adolescents, animé par Chirstian Vidal, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 15 participants par séance.","Samedi 26 janvier 2019, 14h00","60 rue du Général Leclerc, 92130"
137,Atelier d'écriture ExPoésie,Atelier d’écriture poétique ouvert à tous à partir de 18 ans sur réservation,"Atelier gratuit, renseignements par téléphone, réservation par email","Lundi 10 décembre 2018, 15h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
138,Stages Lycée+ « méthodologie pour les 2nde »,Stages d'aide scolaire à destination des lycéens qui souhaitent bénéficier d'un coup de pouce pendant les vacances.,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM, inscription et paiement en ligne sur Téliss du mercredi 10 octobre 8h30 au mercredi 17 octobre 2018 à minuit",22 - 26 octobre 2018,"15 rue Diderot, 92130 Issy-les-Moulineaux"
139,Issy Danse en soirée dansante,"Salon, latino, en ligne, en couple",Entrée : 10 € - Renseignements et réservations : Natalya Leonian,"Samedi 24 novembre 2018, 19h00","16 rue de l'Abbé Derry, 92130 Issy-les-Moulineaux"
140,La piel que habito φ La philo à l'écran,Projection suivie d'une conversation philosophique guidée par Corinne Chambard,Entrée libre dans la limite des places disponibles,"Dimanche 17 février 2019, 18h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
141,Collecte de jouets,Century 21 Immod'Issy organise une collecte de jouets pour les Restos du Cœur.,,1 - 30 novembre 2018,Issy les Moulineaux
142,La caravane des contes et des histoires : Forum des Épinettes,Une caravane en entrée libre pour écouter des contes et découvrir des histoires à partager en famille ou entre riverains,Entrée libre,"Mercredi 16 janvier 2019, 15h00","Forum des Épinettes, 92130 ISsy-les-Moulineaux"
143,30 ans du tremblement de terre en Arménie : une messe requiem en hommage aux victimes,Une messe requiem sera célébrée en l’Eglise Apostolique arménienne d’Issy-les-Moulineaux ce vendredi.,,"Vendredi 7 décembre 2018, 18h30","6 avenue Bourgain, 92130 Issy-les-Moulineaux"
144,Ludéjeuner,"L’Espace Ludique Marcel Aymé vous invite au Ludéjeuner, le rendez-vous ludique.",Entrée libre et gratuite sur inscription par mail,"Vendredi 25 janvier 2019, 12h00","15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
145,Ciné MaConférence ★ Éditeur vidéo - Tout un métier !,"Rencontre animée par Hugues Peysson, directeur de L’Atelier d’Images",Entrée libre dans la limite des places disponibles,"Vendredi 18 janvier 2019, 19h30","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
146,Grand Débat National : réunion citoyenne à Issy,"Dans le cadre du Grand Débat National, le CESEL organise un rendez-vous dont les échanges seront retranscrits.",Sur inscription,"Lundi 18 février 2019, 19h15","11 Rue Danton, 92130 Issy-Les-Moulineaux"
147,Urban trail de nuit : participez à une course de nuit dans les rues de la Ville,"L'an passé, plus de 1 000 participants avaient découvert sous un angle nouveau les plus beaux quartiers d'Issy.",Sur inscription,"Samedi 2 février 2019, 20h30","170 Quai de Stalingrad, 92130 Issy-les-Moulineaux"
148,Cabaret poétique : Amourg,Lecture dansée par la compagnie Azacusca,"Entrée libre, sur réservation en ligne","Samedi 13 avril 2019, 18h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
149,Permanence de vos Conseillers de quartier - Marché Sainte-Lucie,"Moment privilégié d’échanges, les permanences de marché permettent aux Conseillers de quartier d’aller à la rencontre des habitants et aux Isséens de leur faire part de leurs attentes - suggestions.",Ouvert à tous,"Samedi 23 mars 2019, 09h00",Allée Sainte-Lucie
150,Le Conservatoire célèbre Francis Poulenc,"Les classes de FM du 2e cycle et l’ensemble vocal 1 dirigés par Youlia Coric, vous invitent au concert.",,"Mercredi 20 mars 2019, 19h00","11/13 rue Danton, 92130 Issy-les-Moulineaux"
151,Conférence-débat : « Qui crée le droit ? »,"Dans le cadre du cycle ÉducaDroit, l'Espace Jeunes Anne Frank vous propose une conférence-débat sur le thème « Qui crée le droit ? »",Entrée libre,"Mercredi 17 avril 2019, 19h00","15 rue Diderot, 92130 Issy-les-Moulineaux"
152,Cinéma : Los Silencios,Sélection officielle - Quainzaine des réalisateurs - Cannes 2018,,10 - 14 avril 2019,"11-13, rue Danton 92130 Issy-les-Moulineaux"
153,Exposition : Le delta du Danube,Exposition du photographe roumain Daniel Petrescu. Entrée libre du mardi 26 mars au samedi 20 avril 2019,"Entrée libre, renseignements par téléphone",26 mars - 20 avril 2019,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
154,Polichinelle en Balade,"Les travaux du théâtre des marionnettes s’étendront de début mars à fin Août, c’est pourquoi le théâtre Polichinelle sera accueilli dans trois différents lieux de la ville","3€ la place, 20€ les 8 places, gratuit pour les moins de 2 ans.",24 - 26 avril 2019,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
155,Printemps d'Issy : atelier Segway,Et si vous testiez ce deux-roues monoplace électrique pendant les Printemps d'Issy ?,Libre et gratuit,"Dimanche 19 mai 2019, 10h00",place du Belvédère 92130 issy les moulineaux
156,"Exposition : Victor Segalen, voyage au pays du visage","Installation de Dominique Fajnzang, entrée libre",Entrée libre,7 - 31 mai 2019,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
157,Festival du Livre : Concours de dictées !,Notez la dictée dans vos agendas !,,"Samedi 15 juin 2019, 15h30","62 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
158,Le coin des histoires,"Tout l'après-midi, les petits peuvent écouter des histoires !",,"Samedi 15 juin 2019, 15h00","Avenue de la République, 92130 Issy-les-Moulineaux"
159,Des jeux pour tous,"Tout au long de l'après-midi, les ludothécaires vous accueillent autour de jeux.",,"Samedi 15 juin 2019, 14h30","Avenue de la République, 92130 Issy-les-Moulineaux"
160,Film : The Dead Don't Die,Les amateurs de cinéma d'épouvante apprécieront (Interdit aux moins de 12 ans),,7 - 10 juin 2019,"11-13, rue Danton 92130 Issy-les-Moulineaux"
161,Afrique et Go’Jazz,Le Choeur Go’Jazz renoue cette année avec les gospels africains et le jazz vocal !,"Sur Réservation, Tarif : 15 € et 10 € pour les moins de 12 ans","Mardi 18 juin 2019, 20h30","11-13 rue Danton, 92130 Issy-les-Moulineaux"
162,Sympholies présente VINETA,Spectacle Vocal a Cappella,"Sur Réservation, Tarif : 13€ pour les adultes et 8€ pour les enfants de moins de 16 ans","Mercredi 26 juin 2019, 20h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
163,Don du sang,"Nouvelle collecte exceptionnelle de sang et de plaquettes, indispensable pour sauver des vies.",,"Samedi 15 juin 2019, 12h00","Allée Sainte Lucie, 92130 Issy-les-Moulineaux"
164,Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith BLOCH-CHRISTOPHE sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 12 participants par séance.","Vendredi 6 décembre 2019, 19h00","60 rue du Général Leclerc, 92130"
165,Chanter avec son enfant de 3 à 6 ans,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 3 à 6 ans, animé par Marie-Anne Sévin-Tulasne, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 12 participants par séance.","Samedi 18 janvier 2020, 10h30","60 rue du Général Leclerc, 92130"
166,Partager autour du théâtre avec son enfant : 3/4 ans,"Ni performance, ni enseignement de techniques théâtrales, un atelier pour le plaisir de partager, animé par Julia Germillon, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Samedi 30 novembre 2019, 10h30","60 rue du Général Leclerc, 92130"
167,L'Aparté vous accueille ce samedi,Lieu d’accueil pour les bébés et les enfants de moins de 4 ans accompagnés d’un adulte familier. Entrée libre sans rendez-vous.,Entrée libre sans rendez-vous,"Samedi 4 janvier 2020, 15h00","60 rue du Général Leclerc, 92130 Issy-les-Moulineaux"
168,Les bords de Seine en musique,"Découverte des danses traditionnelles, orientales et caribéennes en bord de Seine.",,"Mercredi 21 juin 2017, 16h00","Cours de l'Ancienne Boulangerie, 92130 Issy-les-Moulineaux"
169,Musique et photographie à l'Espace Icare,Musique et photographie se mêlent à l'Espace Icare,,"Mercredi 21 juin 2017, 18h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
170,Stage de pré-rentrée scolaire : collège,Stages de réussite scolaire à destination des collégiens qui souhaitent bénéficier d'un coup de pouce pendant les vacances.,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM, inscription et paiement en ligne sur Téliss",24 - 28 août 2020,"15 rue Diderot, 92130 Issy-les-Moulineaux"
171,Film : Dora et la Cité perdue,Retrouvez Dora et ses amis à la recherche de la Cité d'or perdue,,"Mercredi 11 septembre 2019, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
172,Journée nationale de la Marche Nordique,L'Avia Club Athlétisme vous propose une animation découverte gratuite,Gratuit,"Samedi 5 octobre 2019, 09h00, 10h00",2 Rue du Bateau Lavoir
173,Atelier d'écriture Expoésie,Expression : Tout public,"Entrée libre, sur réservation, tél 01 41 23 82 82","23 septembre - 9 décembre 2019, les lundis","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
174,Rencontre : Cécile A. Holdban : Toucher Terre,Rencontre poétique,"Entrée libre, sur réservation, Tél 01 41 23 82 82","Vendredi 27 septembre 2019, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
175,Exposition : Promenons-nous avec Claude Ponti,Exposition,"Entrée libre, tél 01 41 23 82 82",5 - 30 novembre 2019,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
176,"Exposition : Constellations, Mondes Flottants, Machines",Exposition de dessins,"Entrée libre, renseignements par téléphone au 01 41 23 82 82",4 - 28 septembre 2019,"60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
177,"Soirée jeu famille spéciale ""princesses, dragons et chevaliers""",Une soirée entièrement dédiée aux jeux de société modernes à partager en famille,Gratuit pour les adhérents - 2€ par personne pour les non-adhérents,"Samedi 5 octobre 2019, 18h30","18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
178,Film : Chambre 212,Venez découvrir le dernier film de Christophe Honoré,,16 - 21 octobre 2019,"11-13, rue Danton 92130 Issy-les-Moulineaux"
179,"""L'objet à portée de main""",Séminaire ouvert de l'Institut du Virtuel,"Entrée libre, tél 01 41 23 82 82","Vendredi 18 octobre 2019, 10h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
180,"Atelier d'écriture : Instants de voyages, animé par Dominique Chipot",Atelier d'écriture de haïku dans le cadre du 3ème salon du livre de haïku,"Atelier gratuit sur réservation en ligne, renseignements au 01 41 23 82 82","Dimanche 8 décembre 2019, 14h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
181,Sophrologie prénatale A3N,avec Géraldine Haegeli,Sur réservation,"Vendredi 8 novembre 2019, 10h00","10 rue Henri Mayer, 92130 Issy-les-Moulineaux"
182,Café Polyglotte,Pratiquez les langues étrangères,entrée libre,"Jeudi 5 mars 2020, 19h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
183,"Ciné-débat : Happy, l'école de pleine conscience","Projection suivie d'un échange avec Christiane Rolin, psychanalyste et formatrice, sur inscription.","Projection gratuite, renseignements par téléphone, inscription en ligne, 120 participants maximum.","Jeudi 28 novembre 2019, 19h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
184,"Film : ""Angry birds : Copains comme cochons""",Un dessin animé qui ravira petits et grands,,"Mercredi 13 novembre 2019, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
